epoch,lanes,gpu_util,gpu_power_w
1787253025,1,3,39.24
1787253026,1,3,39.32
1787253027,1,2,39.33
1787253029,1,3,39.26
1787253030,1,3,39.33
1787253031,1,2,39.40
1787253032,1,3,39.45
1787253033,1,3,39.40
1787253034,1,2,39.49
1787253035,1,3,39.35
1787253036,1,2,39.40
1787253037,1,3,39.39
1787253038,1,3,39.37
1787253039,1,2,39.37
1787253040,1,3,39.38
1787253041,1,2,39.47
1787253042,1,3,39.38
1787253043,1,2,39.41
1787253044,1,2,39.45
1787253045,1,2,39.45
1787253046,1,3,39.56
1787253047,1,2,39.51
1787253048,1,3,39.48
1787253049,1,2,39.44
1787253050,1,3,39.48
1787253051,1,2,39.46
1787253052,1,2,39.53
1787253053,1,2,39.56
1787253055,1,2,39.56
1787253056,1,2,39.49
1787253057,1,2,39.54
1787253058,1,3,39.52
1787253059,1,2,39.53
1787253060,1,3,39.53
1787253061,1,2,39.53
1787253062,1,3,39.63
1787253063,1,2,39.62
1787253064,1,2,39.62
1787253065,1,2,39.58
1787253066,1,3,39.56
1787253067,1,2,39.54
1787253068,1,3,39.60
1787253069,1,2,39.66
1787253070,1,2,39.63
1787253071,1,3,39.61
1787253072,1,3,39.71
1787253073,1,3,39.68
1787253074,1,3,39.76
1787253075,1,3,39.71
1787253076,1,3,39.76
1787253077,1,2,39.78
1787253078,1,3,39.82
1787253079,1,3,39.84
1787253081,1,3,39.82
1787253082,1,3,39.81
1787253083,1,3,39.93
1787253084,1,3,39.84
1787253085,1,3,39.90
1787253086,1,3,39.85
1787253087,1,2,39.86
1787253088,1,3,39.94
1787253089,1,3,40.00
1787253090,1,3,40.24
1787253091,1,2,40.22
1787253092,1,2,40.27
1787253093,1,3,40.21
1787253094,1,2,40.20
1787253095,1,3,40.19
1787253096,1,2,40.24
1787253097,1,2,40.19
1787253098,1,3,40.20
1787253099,1,2,40.23
1787253100,1,3,40.19
1787253101,1,3,40.23
1787253102,1,3,40.28
1787253103,1,2,40.36
1787253104,1,3,40.25
1787253106,1,2,40.25
1787253107,1,2,40.28
1787253108,1,3,40.48
1787253109,1,2,40.45
1787253110,1,2,40.32
1787253111,1,3,40.32
1787253112,1,3,40.33
1787253113,1,2,40.28
1787253114,1,3,40.31
1787253115,1,3,40.34
1787253116,1,2,40.32
1787253117,1,3,40.36
1787253118,1,3,40.38
1787253119,1,3,40.43
1787253120,1,2,40.44
1787253121,1,2,40.38
1787253122,1,2,40.42
1787253123,1,3,40.37
1787253124,1,2,40.29
1787253125,1,3,40.27
1787253126,1,3,40.31
1787253127,1,3,40.42
1787253128,1,3,40.44
